categoria,expresion,uso,ejemplo,english,german,french
Idiomatic phrases,¡No manches!,Se refiere a una sorpresa o a algo inesperado.,¡No manches! ¿En serio pasó eso?,"You don´t say, no way.",Keineswegs!,"Tu plaisant, c’est pas vrai!"
Slang ,Neta,Se refiere a incredulidad o que no se cree algo.,¿Es neta que dijo eso?,"Really?, For real?",Wirklich?,En vrai?
Idiomatic phrases,¡Está cañon!,Se refiera a que algo está muy difícil de hacer.,"La verdad, sí está cañón para ir. ",It is incredible! / It is complicated! / It's tough,Das ist der Hammer!,C’est ouf 
Slang,Hueva,Tener flojera ,Me da una hueva entrar a la clase de matemáticas.,Feeling lazy.,Der Faulheit!,Flemme
Slang ,O sea,Se usa para introducir una explicación.,"O sea, me dijo que no quería ir con nosotros a la fiesta. ",I mean.,Das heißt.,Alors 
Idiomatic phrases,¿Qué pedo?,Forma coloquial de preguntar ¿Cómo estás? o también expresa sorpresa.,"¿Qué pedo con su vida? / Que pedo, lo que le dijo estuvo mal. ", What the freak?,Was ist los?,"Wesh, ça va ?"
Slang,Órale,Expresión que denota asombro o motivación.,"¡Órale no sabía eso!, ¡Órale vamos, que se nos hace tarde! ",Geez!,Los!,Allez!
Idiomatic phrases,Qué chido,Que algo es increíble.,Que chido tu reloj.,"Dope, thar's sick, that's rad.",Geil! ,C'est dinge!
Slang,¡Aguas!,Expresión que indica que se va a revisar  o ver algo,"¡Aguas, se te va a caer eso!",Watch out!,Vorsichtig! ,"Attention!, Fais gaffe!"
Idiomatic phrases,Echar un ojo,Que te guste alguien o coquetearle a alguien.,Como que yo sí le voy echando el ojo a él. ,"Check up!, keep an eye on",einen Blick werfen. ,Jeter un coup d'oeil
Idiomatic phrases,Dar lata,Estar molestando a alguien de una forma persistente.,"Mi hijo da una lata, ya no lo soporto. ",To be a pain in the nose/in the ass.,Nerven / jemandel auf den Keks gehen.,Casser les pieds!
Idiomatic phrases,Me late,Forma coloquial de decir que algo te agrada o te gusta. ,Me late tu idea. ,"I'm down, I dig it ",Ich steh' drauf.,Je kiffe!
Idiomatic phrases,Hacerse pato,Forma de referirse a una persona que no está haciendo nada cuando debe de hacer un trabajo. ,Yo siempre me hago pato en el trabajo. ,Horse around.,Sich dumm stellen.,Faire le fou/la folle
Slang,¡Chin!,Se usa cuando algo salió mal.,"¡Chin!, ¡Olvidé las llaves de mi casa!",Damn! ,Mist! ,"Zut !, MInce !, Flûte !"
Slang,Ch,Hablar en susurro.,"Deja de cuchichiar, es de mala educación. ","Yap, gab. ",Tuscheln / flüstern,Chuchoter
Slang,Gacho,Expresa que algo está feo o malo. ,Si estuvo gacho lo que le pasó a mi prima ayer. ,"Mean, that sucks, lame, outrages.",Krass / mies / scheiße,"C'est affreux, C'est nul, C'est pourri "
Slang,Quiúbole,Forma coloquial de preguntar ¿Cómo estás?,"¿Quiúbule, mi Franco?",Sup?,Was geht?,Quoi de neuf ?
Slang,Pichar,Invitar algo a alguien.,"No te preocupes, yo picho hoy. ",It's on me.,ein ausgeben.,Je paie 
Idiomatic phrases,Echar carrilla,Hacer bromas.,Deja de echar carrilla y ponte a trabajar. ,"Diz someone, roast, read someone.",jemanden verarschen / jemanden hänseln.,"Se moquer de, taquiner "
Slang,Agüitado,Expresar estar triste.,"La verdad, si ando un poco agüitado. ","Blue, under the weather.",Traurig.,"J'ai le cafard, Avoir le bourdon"
Slang,Ándale,"Se usa para referir asombro, aprobación o emoción por algo.",Ándale como te decía así le puedes hacer.,"C'mon!, Move on! ","na, los!","Vas-y,  Ça roule"
Idiomatic phrases,Qué padre,Se usa para referir asombro o emoción por algo., ¡Que padre tus zapatos!,"How cool!, That' great!, ",wie cool! / Echt cool! ,"Superbe!,  Trop bien!"
Idiomatic phrases,Ya chole- ya estuvo bueno ,Expresa hartazgo.,"No pos, ya chole, esto no se hizo.","Enough!, That's it, I'm done!",Ich hab die Schnauze voll!,J'en ai marre
Idiomatic phrases,De poca madre,Expresa que algo es increíble.,La fiesta de ayer estuvo de poca madre.,"Awesome, outrages ",Das ist ja der Wahnsinn!,C'est le top
Idiomatic phrases,Del nabo,Se usa para expresar que algo está muy mal hecho.,Hoy en el trabajo me fue del nabo. ,"Awful, I'ts crap.",Für'n Arsch.,C'est à chier
Slang,Cámara,Expresión coloquial para afirmar algo. También puede indicar indignación.,¡Cámara! pensé que çonfiaba en tí. / ¡Cámara! yo los llevo. ,"Got it, I gotcha.",Geht klar.,Ça roule
Idiomatic phrases,¡Qué oso!,Expresión que denota vergüenza.,¡Que oso! se le declaró enfrente de toda la escuela. ,What a shame!,Wie peinlich!,"Quelle honte, c'est l'honte"
Idiomatic phrases,¿Qué tranza?,Expresión para preguntar ¿Cómo has estado?,¿Que tranza? hace mucho que no nos vemos.,Sup?,Was geht?,Quoi de neuf ?
Idiomatic phrases,"De chile, mole y pozole",Se usa para expresar que se hizo o hay muchas cosas pasando al mismo tiempo.,"Eso parecía de chile, mole y pozole. No le entendí nada. ",A bit of everything.,Alles Mögliche,"Un peu de tout ça, Un peut de tout"
Slang,Aventón,Se usa para ayudar a acercar a alguien hacia una ubicación específica.,¿Me das un aventón a mi casa?,Ride.,eine mitfahrgelegenheit bieten,"Donner un lift,  Donner un lift"
Idiomatic phrases,Mamón /mamona,Una persona con un carácter especial.,El profe es super mamón. ,"Picky, bitchy.",Arschloch.,"Snob, Connard"
Slang,Leve,Se usa para expresar poca cantidad de algo.,El dolor es leve. ,Slightly.,Kein Ding,Léger
Slang,Chafa,Se usa para expresar algo de mala calidad.,"Qué chafa, se rompió a los dos días. ","Cheap, a crap, fake. ",Schrott.,Merdique
Idiomatic phrases,Mala onda / buena onda,Se refiere a que alguien es buena o mala persona.,"Qué mala onda, yo no le haría eso. Qué buena onda, sí me ayudó con el proyecto. ","Good vibes, Bad vibes.",Arschloch / cool.,"Pas cool/Chiant, c'est la kiffance "
Idiomatic phrases,Echar relajo,Se usa para referirse a hacer bromas.,"Todos estábamos echando relajo, cuanod llegó la maestra. ","To have fun, to chill out.",herumalbern.,Farniente
Idiomatic phrases,Con el ojo cuadrado,Denota asombro o no haber entendido algo.,"Me has dejado con el ojo cuadrado, no pensé que harías eso. ",Stunned. Shocked. ,Krass! / Wahnsinn!,"Oh la vache!, C'est ouf!"
Idiomatic phrases,Luego-luego,Se usa para referirse a que algo se va a realizar al instante.,"Luego-luego de que me fui, se rompió el cristal.",Right away.,Gleich / Sofort!,En deux deux
Slang,Chulo/a,Algo que es bonito o lindo.,Mi hijo esta bien chulo.,Pimp. ,Geil! / Toll!,"Chouette, mignon"
Slang,Achicopalado,Estar muy triste.,Achicopalado me fui a mi casa. ,"Feeling blue, Under the weather. ",Traurig.,"J'ai le cafard, Avoir le bourdon. "
Idiomatic phrases,Se te guarda,"Frase que indica indignación, traición y decepción.","Se te guarda, no te volveré a contar nada. ",I'll keep that in mind.,Das merke ich mir!,Attends de voir
Slang,Ujule,Expresión que se usa cuando algo no salió como se esperaba.,"Újule de aqyuí a que terminemos, va tomar rato. ",Damn! Oh man!,Oh je!,Mince!
Slang,Pelado,Se refiere a alguien grosero.,"Me gusta mucho él, pero es muy pelado.",Rude. ,Frechdachs / Göre,"Relou, Chiant / Chiante"
Idiomatic phrases,La cagaste," Se usa cuando alguien hizo algo malo, evidenció a alguien o hizo lo que no debía de hacer. ","Sí la cagaste con ese comentario, no inventes. ",You screwed up,Du hast's verkackt!,"J'ai merdé, j'ai fait une connerie"
Idiomatic phrases,Es chingón,Se usa para referirse a alguien muy bueno en lo que hace.,Mi amigo es un chingón en lo que hace. ,Lit ,Er /Sie ist der Hammer!,"Nickel, Magnifique"
Idiomatic phrases,Pedir ray. Pedir raid.,Se usa para ayudar a acercar a alguien hacia una ubicación específica.,Ayer le pedí raid a mi amigo. ,Give a ride!,eine mitfahrgelegenheit bieten.,"Donner un lift,  Donner un lift"
Idiomatic phrases,Darse de madrazos,Pelearse con alguien a golpes. ,Carlos y José se dieron de madrazos ayer. ,To get into a fight.,auf die Fresse kriegen.,Se cogner
Slang,Chamuscado," Se refiere a algo o alguien que está quemado o bien, refiere a un desgaste físico.",Mi cerebro terminó chamuscado ayer. / Se te chamuscó la carne. ,Scorched. ,Angebrannt / kaputt.,Brûlé
Idiomatic phrases,Echame/Hacerme paro," Pedir ayuda o un favor a alguien.","Hazme paro, ¿no? Ahorita tengo las manos ocupadas.  ",Give me a hand.,Schieb mir mal!,Il me faut un coup de main
Idiomatic phrases,De la fregada,Expresión que se utiliza para decir que algo no está bien.,En la exposicion nos fue de la fregada.,"What the hell, what a mess.",zum Kotzen. ,C'est la galère
Slang,¡Sobres! ,Expresión coloquial para afirmar algo. También puede indicar indignación.,"Sobres, nos vemos mañana en la fiesta. ",You got it! Yeah man! Hell yeah!,Alles klar! / Na toll! - prima,"Ouaip, Mouais"